"date","new_cases"
2020-02-14,200
2020-02-15,40
2020-02-16,20
2020-02-17,20
2020-02-18,20
2020-02-19,20
2020-02-20,20
2020-02-21,20
2020-02-22,20
2020-02-23,100
2020-02-24,80
2020-02-25,20
2020-02-26,20
2020-02-27,80
2020-02-28,240
2020-02-29,20
2020-03-01,60
2020-03-02,40
2020-03-03,40
2020-03-04,100
2020-03-05,200
2020-03-06,380
2020-03-07,140
2020-03-08,200
2020-03-09,400
2020-03-10,140
2020-03-11,380
2020-03-12,320
2020-03-13,360
2020-03-14,520
2020-03-15,440
2020-03-16,140
2020-03-17,280
2020-03-18,880
2020-03-19,360
2020-03-20,240
2020-03-21,620
2020-03-22,380
2020-03-23,440
2020-03-24,600
2020-03-25,680
2020-03-26,220
2020-03-27,220
2020-03-28,700
2020-03-29,520
2020-03-30,360
2020-03-31,400
2020-04-01,260
2020-04-02,200
2020-04-03,500
2020-04-04,280
2020-04-05,180
2020-04-06,120
2020-04-07,360
2020-04-08,200
2020-04-09,300
2020-04-10,220
2020-04-11,300
2020-04-12,120
2020-04-13,340
2020-04-14,60
2020-04-15,40
2020-04-16,240
2020-04-17,20
2020-04-18,140
2020-04-19,20
2020-04-20,20
2020-04-21,140
2020-04-22,60
2020-04-23,60
2020-04-24,80
2020-04-25,20
2020-04-26,20
2020-04-27,20
2020-04-28,120
2020-04-29,100
2020-04-30,20
2020-05-01,20
2020-05-02,20
2020-05-03,20
2020-05-04,20
2020-05-05,20
2020-05-06,40
